doc_id,companies
0000000159,вконтакте
0000000308,макс
0000000318,макс
0000000322,макс
0000000368,одноклассники
0000000381,одноклассники
0000000383,одноклассники
0000000390,mail
0000000393,одноклассники
0000000397,рбк
0000000446,spotify
0000000495,tj;вконтакте
0000000496,одноклассники
0000000527,одноклассники
0000000632,одноклассники
0000000641,мтс
0000000708,одноклассники
0000000732,пик
0000000737,ростелеком
0000000745,одноклассники
0000000754,одноклассники
0000000790,одноклассники
0000000820,одноклассники
0000000823,яндекс;мегаплан
0000000840,одноклассники
0000000852,яндекс;вконтакте;одноклассники
0000000857,одноклассники
0000000885,одноклассники
0000001002,mail
0000001099,mail
0000001143,одноклассники
0000001220,одноклассники
0000001261,одноклассники
0000001359,рбк
0000001370,одноклассники
0000001398,одноклассники
0000001403,одноклассники
0000001405,одноклассники
0000001426,рбк
0000001539,mail
0000001619,badoo
0000001692,intel
0000001709,одноклассники
0000001741,одноклассники
0000001754,рбк
0000001768,одноклассники
0000001788,coub
0000001831,microsoft
0000001853,одноклассники
0000001907,одноклассники
0000002013,mail
0000002061,вконтакте
0000002138,яндекс;мтс
0000002139,spotify
0000002148,мтс
0000002189,mail;авито;мтс
0000002227,вконтакте
0000002344,мтс
0000002382,mail
0000002405,mail
0000002471,мтс
0000002475,яндекс
0000002517,coub
0000002536,одноклассники
0000002609,одноклассники
0000002610,одноклассники
0000002613,мтс
0000002624,vk
0000002625,яндекс
0000002627,яндекс
0000002631,coub
0000002720,mail
0000002830,mail
0000002839,яндекс
0000002840,spotify
0000002916,одноклассники
0000002921,bright
0000002978,mail
0000002996,mail
0000003016,одноклассники
0000003028,ozon
0000003057,mail
0000003083,mail;одноклассники
0000003099,mail
0000003211,mail
0000003264,yota
0000003271,mail;одноклассники
0000003303,одноклассники
0000003341,spotify
0000003342,mail
0000003347,mail;одноклассники
0000003348,mail
0000003355,mail
0000003439,яндекс
0000003458,microsoft
0000003473,одноклассники
0000003479,одноклассники
0000003489,coub
0000003514,tj;вконтакте;комитет
0000003538,яндекс
0000003556,яндекс
0000003569,бланк
0000003576,mail
0000003579,яндекс
0000003581,яндекс;mail
0000003589,одноклассники
0000003612,одноклассники
0000003613,mail
0000003624,mail
0000003627,coub
0000003647,комитет
0000003651,ozon;мтс
0000003675,microsoft
0000003732,рвк
0000003748,одноклассники
0000003757,рвк
0000003793,ozon
0000003810,spotify
0000003821,мтс
0000003855,рбк
0000003865,мтс
0000003882,тнт
0000003883,mail
0000003897,рбк
0000003914,яндекс
0000003923,spotify
0000003961,luxoft
0000003976,coub
0000004008,комитет
0000004012,яндекс
0000004023,яндекс
0000004027,яндекс
0000004059,комитет
0000004080,wise
0000004113,яндекс
0000004117,лайфхакер
0000004144,mail
0000004151,яндекс
0000004164,metro
0000004184,тнт;ростелеком
0000004207,action
0000004228,яндекс
0000004234,mail
0000004246,яндекс;mail
0000004251,mail
0000004255,yota
0000004278,рвк
0000004298,рбк
0000004300,coub;timeless
0000004307,spotify
0000004318,mail
0000004367,одноклассники
0000004379,рбк
0000004402,qiwi
0000004418,мтс
0000004446,spotify
0000004453,одноклассники
0000004458,qlik
0000004469,яндекс
0000004473,яндекс
0000004503,mail
0000004510,ivideon
0000004545,coub
0000004552,одноклассники
0000004572,mail
0000004576,рбк
0000004584,coub
0000004640,комитет
0000004654,yota
0000004695,яндекс;вконтакте
0000004707,ozon
0000004711,рбк
0000004742,pichesky
0000004749,одноклассники
0000004766,мтс
0000004773,mail
0000004796,лайфхакер
0000004829,яндекс
0000004853,яндекс
0000004864,одноклассники
0000004874,vk
0000004881,рбк
0000004886,яндекс
0000004895,фоксфорд
0000004903,pyrus
0000004918,spotify;мтс
0000004949,mail
0000004966,coub
0000004978,яндекс
0000004986,yota;мтс
0000005006,yota
0000005013,mail
0000005029,mail
0000005032,одноклассники
0000005060,яндекс
0000005089,mail;одноклассники
0000005099,яндекс
0000005103,microsoft
0000005113,eset
0000005118,яндекс
0000005119,яндекс
0000005125,mail;одноклассники
0000005136,яндекс
0000005159,microsoft
0000005184,pyrus
0000005187,mail
0000005193,одноклассники
0000005299,рбк
0000005304,mail
0000005338,yota
0000005374,ozon;мтс
0000005377,яндекс
0000005412,ozon
0000005459,яндекс
0000005460,mail
0000005463,одноклассники
0000005512,eset
0000005522,яндекс
0000005524,фоксфорд
0000005555,mail
0000005575,action
0000005585,одноклассники
0000005586,вконтакте
0000005638,мтс
0000005655,псб
0000005677,рвк
0000005681,mail
0000005682,яндекс
0000005690,рбк
0000005715,mail
0000005746,мэйл
0000005750,рбк
0000005756,mail
0000005792,spotify
0000005794,yota
0000005817,spotify
0000005823,greensight
0000005857,mail
0000005862,мтс
0000005871,eset
0000005874,spotify
0000005891,eset
0000005908,яндекс;mail
0000005923,skyeng
0000006000,acer
0000006004,yota
0000006005,яндекс
0000006049,mail
0000006053,microsoft
0000006098,пик
0000006127,mail
0000006129,рбк
0000006135,контур
0000006142,vk
0000006159,mail
0000006191,mail
0000006195,yota
0000006211,mail
0000006219,рбк
0000006240,рбк
0000006263,одноклассники
0000006265,ozon
0000006322,mail
0000006325,tj;комитет
0000006420,мтс
0000006473,coub
0000006519,wise
0000006524,tj;комитет
0000006527,spotify
0000006558,одноклассники
0000006559,acer
0000006566,spotify
0000006568,мтс
0000006576,spotify
0000006593,spotify
0000006603,яндекс
0000006623,yota
0000006627,контур
0000006634,мтс
0000006678,mail
0000006729,одноклассники
0000006744,точка;action
0000006747,mail
0000006748,мтс
