companies,commentsCount,hitsCount,likes
2leads,0.0,871.0,1.0
2гис,33.81531531531532,6392.184684684685,47.86036036036036
acer,26.15,4646.86,25.26
action,7.4798994974874375,4326.811557788945,28.281407035175878
admitad,12.99092970521542,2975.3061224489797,62.625850340136054
adv.cake,7.090909090909091,3646.2727272727275,11.0
aidata,2.142857142857143,6368.285714285715,13.428571428571429
aitarget,7.551020408163265,4035.7244897959185,16.46938775510204
alconost,3.107142857142857,4766.5,10.714285714285714
apalon,23.0,7121.875,15.0
artsofte,5.321428571428571,1677.0357142857142,16.321428571428573
azoft,0.8148148148148148,1733.5185185185185,1.5925925925925926
azur games,5.181818181818182,1445.3333333333333,26.96969696969697
badoo,20.72316384180791,9661.050847457627,24.372881355932204
bercut,3.84375,1117.25,2.0625
bestdoctor,1.0,1384.5,5.0
bilderlings,4.85,1009.1,5.35
bitbanker,1.0,129.5,1.5
black snowflake,0.0,3194.0,15.0
booking.com,40.5,3621.0,4.5
boomstarter,10.377906976744185,3038.0697674418607,28.872093023255815
bright,12.753581661891117,3296.0659025787963,13.538681948424069
briskly,24.88888888888889,3896.777777777778,31.925925925925927
budu,12.5,2904.5,14.0
buzko krasnov,1.732394366197183,574.7887323943662,17.204225352112676
cainiao network,16.705882352941178,2754.1176470588234,22.58823529411765
calltouch,8.505494505494505,3494.3919413919416,38.62637362637363
cambly,39.142857142857146,15403.714285714286,23.571428571428573
chatfuel,26.75,14453.171875,27.421875
checkaso,2.2244897959183674,1528.0408163265306,11.142857142857142
cleverdata,2.0,35216.0,10.0
cloudpayments,15.735294117647058,3121.1176470588234,80.1470588235294
comagic,6.814814814814815,1400.2222222222222,9.333333333333334
coub,18.95967741935484,9147.467741935483,32.604838709677416
credit.club,4.777777777777778,1193.2222222222222,2.2222222222222223
csssr,12.05,8530.5,19.6
dentsu russia,5.6,1012.6,12.6
devim,1.3333333333333333,5435.333333333333,8.666666666666666
didi,23.48427672955975,5898.327044025157,17.735849056603772
digital horizon,4.708860759493671,2637.3417721518986,11.772151898734178
digital security,7.65,4030.05,10.15
digital strategy,6.571428571428571,4920.714285714285,19.285714285714285
dins,0.9090909090909091,473.3636363636364,8.363636363636363
docsinbox,10.0,960.0,0.0
dodo pizza,18.089285714285715,3797.035714285714,33.910714285714285
ebay,14.582278481012658,5514.550632911392,18.39240506329114
ecommpay,6.9,2892.1,12.1
embacy,5.653846153846154,2067.8365384615386,58.88461538461539
epn,14.4,6427.4,4.8
eset,5.6875,2940.375,9.5
evrone,4.068965517241379,1040.7672413793102,12.327586206896552
exness,4.170731707317073,2265.5365853658536,17.5609756097561
extyl,13.88888888888889,1274.2962962962963,29.62962962962963
faceapp,21.2,1266.2,34.4
fbs,11.772946859903382,2756.8067632850243,14.768115942028986
flowwow,10.686274509803921,2633.2156862745096,14.235294117647058
friflex,5.222222222222222,1038.888888888889,25.11111111111111
fura,19.666666666666668,3464.5,11.333333333333334
geekbrains,16.44848484848485,4920.151515151515,129.25454545454545
generations,4.0,2717.8571428571427,17.428571428571427
getblogger,8.272727272727273,18253.545454545456,8.818181818181818
gett,22.349473684210526,7519.7705263157895,24.71578947368421
globus,8.380952380952381,2092.0714285714284,12.0
goodt,2.3333333333333335,999.0,7.777777777777778
goose gaming,2.75,1691.375,5.5
green grey,1.0,673.0,5.333333333333333
greensight,60.25,35412.5,44.75
halyk bank,5.071428571428571,797.1428571428571,4.285714285714286
heineken,8.697916666666666,4529.510416666667,17.135416666666668
helmeton,2.6666666666666665,1644.3333333333333,9.666666666666666
hezzl,2.5,2517.0,15.0
hh.ru,47.142857142857146,6005.0,20.857142857142858
holyweb,7.0,594.2307692307693,18.346153846153847
honor,16.017142857142858,5033.148571428572,16.34285714285714
hoqu,2.5,1843.25,5.25
httpool,4.685714285714286,1196.142857142857,5.4
ibs,12.833333333333334,4509.962962962963,9.648148148148149
igooods,8.833333333333334,6354.166666666667,5.5
immigram,1.0,1171.0,4.0
infoshell,1.5,840.75,1.75
infowatch,18.22222222222222,5369.888888888889,13.11111111111111
insense,5.2,4190.75,10.925
intel,21.897727272727273,5187.307692307692,28.8986013986014
involta,10.037037037037036,1602.4074074074074,36.0
it-agency,0.0,12.0,0.0
itfb,7.0,752.0,0.0
ivi,6.0772946859903385,2025.6714975845412,5.734299516908212
ivideon,6.7,2847.22,27.76
jabra,8.53125,1062.65625,69.0
joom,19.378947368421052,4556.336842105263,40.43684210526316
jungheinrich,0.5,733.3333333333334,3.0
kauri,1.0,2450.5,1.5
kinky russia,4.0,970.6666666666666,3.6666666666666665
kodland,3.923076923076923,1479.5384615384614,47.333333333333336
kokoc group,7.957446808510638,2780.8936170212764,14.74468085106383
kupibilet.ru,2.1666666666666665,1579.25,5.0
kwork,14.248,2539.4,8.112
lamoda,11.165898617511521,4154.731182795699,21.336405529953918
leoni,1.3333333333333333,879.6666666666666,5.666666666666667
level group,2.6875,357.8125,4.6875
lingualeo,12.673913043478262,7194.673913043478,14.195652173913043
luxoft,12.380952380952381,5794.444444444444,13.936507936507937
macaroon,4.25,3418.75,1.0
madanes,1.3636363636363635,1260.3636363636363,2.8181818181818183
madebymad,6.5,6167.5,27.5
mail,18.042075736325387,5315.155446470313,25.87190275829827
mail.ru,18.23843930635838,6884.3591040462425,23.142341040462426
markswebb,6.978494623655914,2154.483870967742,16.70967741935484
master delivery,1.0,249.0,4.0
mbm.mos,0.7058823529411765,932.1176470588235,3.176470588235294
mercaux,12.75,5031.5,37.25
metacommerce,0.6153846153846154,827.1538461538462,0.6153846153846154
metro,20.52247191011236,6035.20786516854,33.67977528089887
microsoft,15.501723089397933,5336.371781877154,29.811879181025745
mindbox,6.483333333333333,1788.2888888888888,14.811111111111112
moab,29.36842105263158,9469.236842105263,50.39473684210526
modelta,14.75,10799.75,10.75
modum lab,4.08,1940.36,10.68
multiways,4.826923076923077,1589.4038461538462,31.173076923076923
ngenix,4.2727272727272725,2220.6363636363635,6.636363636363637
nimax,9.594827586206897,4159.870689655172,31.017241379310345
noomeera,2.0,1140.0,10.0
notamedia,11.095238095238095,4091.404761904762,19.142857142857142
nta,21.0,2558.722222222222,26.61111111111111
